"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Vedica26159477: Twitter #TwitterCEO #TwitterSpaces https://t.co/atJJEmNbwY",FALSE,0,NA,2022-04-28 17:44:38,FALSE,NA,"1519734347250925568",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","VrundaAnita",1,TRUE,FALSE,NA,NA
"@StaniKulechov @Twitter <U+0001F44F><U+0001F44F>
So...more integration welcoming as #TwitterCEO",FALSE,2,"StaniKulechov",2022-04-28 17:43:48,FALSE,"1519731904542654464","1519734138017787904","952921795316912133","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","indologists",0,FALSE,FALSE,NA,NA
"Binance Will List Project Galaxy (GAL)

https://t.co/6TcFYK9dfZ via @YouTube 

#galtoken #Project #projectgalaxy… https://t.co/DlRmeGKIqR",FALSE,32,NA,2022-04-28 17:41:24,TRUE,NA,"1519733536307269632",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CryptoGlobal100",0,FALSE,FALSE,NA,NA
"RT @yung_cpa: Yo Check out my verse on KING PERRY’s “Go German” 

#gogerman #eachenterprise #ElonMusk #Kendrick #Drake #twittersold #Twitte…",FALSE,0,NA,2022-04-28 17:40:44,FALSE,NA,"1519733366261792771",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kenechuqu",15,TRUE,FALSE,NA,NA
"RT @aajtak: Twitter <U+0938><U+0947> <U+0928><U+093F><U+0915><U+093E><U+0932> <U+0926><U+093F><U+090F> Parag Agrawal? <U+091C><U+093E><U+0928><U+0947><U+0902> <U+092A><U+0942><U+0930><U+093E> <U+092E><U+093E><U+092E><U+0932><U+093E> 

@ashutoshjourno  

#CEOParagAgrawal #TwitterCEO #Twitter #ElonMusk #ATdi…",FALSE,0,NA,2022-04-28 17:39:18,FALSE,NA,"1519733007216562176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jitendr85160394",3,TRUE,FALSE,NA,NA
"Twitter <U+0938><U+0947> <U+0928><U+093F><U+0915><U+093E><U+0932> <U+0926><U+093F><U+090F> Parag Agrawal? <U+091C><U+093E><U+0928><U+0947><U+0902> <U+092A><U+0942><U+0930><U+093E> <U+092E><U+093E><U+092E><U+0932><U+093E> 

@ashutoshjourno  

#CEOParagAgrawal #TwitterCEO #Twitter… https://t.co/JL4T3LIAl0",FALSE,58,NA,2022-04-28 17:37:45,TRUE,NA,"1519732616022622208",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","aajtak",3,FALSE,FALSE,NA,NA
"Twitter &amp; alon musk related questions
#TwitterAllHands
#TwitterCEO
#twitchtv #Twitter
#twitch
#twittersold
<U+0001F447><U+0001F447><U+0001F447>
https://t.co/FhwsWRxJJc",FALSE,0,NA,2022-04-28 17:37:45,FALSE,NA,"1519732615825489920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UPSC_LECTURER",0,FALSE,FALSE,NA,NA
"RT @ShinobiOfCrypto: $Marvin is still under heavy discount and guess what?

Once again scared money gonna miss this opportunity and won't m…",FALSE,0,NA,2022-04-28 17:36:50,FALSE,NA,"1519732383695745026",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dina221737103",244,TRUE,FALSE,NA,NA
"RT @DaringDjango: One fine morning, bored #ElonMusk decided to go for a shopping and bought Twitter. Say hello to the new CEO of Twitter.…",FALSE,0,NA,2022-04-28 17:36:32,FALSE,NA,"1519732311104753664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Peacesign0",479,TRUE,FALSE,NA,NA
"RT @Debrapearlz: $Marvin is still under heavy discount and guess what?

Once again scared money gonna miss this opportunity and won't make…",FALSE,0,NA,2022-04-28 17:36:26,FALSE,NA,"1519732282545917952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NowakowskiD",19,TRUE,FALSE,NA,NA
"#love #TwitterCEO #Bangladesh https://t.co/ymwpMNRwTL",FALSE,0,NA,2022-04-28 17:36:17,FALSE,NA,"1519732248324362240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lr_shishir_",0,FALSE,FALSE,NA,NA
"Follow those who follows you,
Follow the Truth <U+0001F42C>

#TwitterCEO #ElonMusk #ElonMuskBuyTwitter",FALSE,2,NA,2022-04-28 17:35:58,FALSE,NA,"1519732165298298880",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheLaraWilson",0,FALSE,FALSE,NA,NA
"MANDR MASJID EK SAMAN HAI BUT KOI EK DUSRE KO SPEAKER BAND KARNE KE BARE ME BOLEGE TO KIYA HOGA BHALAI ISI ME HAI K… https://t.co/1LosUJWJVx",FALSE,1,NA,2022-04-28 17:33:26,TRUE,NA,"1519731529366183936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SagarGo95915128",0,FALSE,FALSE,NA,NA
